
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    10.1.217.183:137       *:*                                    4
  UDP    10.1.217.183:138       *:*                                    4
  UDP    10.1.217.183:1900      *:*                                    4532
  UDP    10.1.217.183:54412     *:*                                    11648
  UDP    10.1.217.183:55157     *:*                                    4532
  UDP    127.0.0.1:1900         *:*                                    4532
  UDP    127.0.0.1:49664        127.0.0.1:49664                        5960
  UDP    127.0.0.1:55158        *:*                                    4532
  UDP    172.27.80.1:137        *:*                                    4
  UDP    172.27.80.1:138        *:*                                    4
  UDP    172.27.80.1:1900       *:*                                    4532
  UDP    172.27.80.1:49669      *:*                                    4532
  UDP    [::]:123               *:*                                    4824
  UDP    [::]:3702              *:*                                    14020
  UDP    [::]:3702              *:*                                    14020
  UDP    [::]:5353              *:*                                    20156
  UDP    [::]:5353              *:*                                    2712
  UDP    [::]:5353              *:*                                    20156
  UDP    [::]:5355              *:*                                    2712
  UDP    [::]:6771              *:*                                    11648
  UDP    [::]:50074             *:*                                    23044
  UDP    [::]:54414             *:*                                    11648
  UDP    [::]:54416             *:*                                    11648
  UDP    [::]:62962             *:*                                    5320
  UDP    [::]:63880             *:*                                    14020
  UDP    [::]:65112             *:*                                    2712
  UDP    [::1]:1900             *:*                                    4532
  UDP    [::1]:49668            *:*                                    4532
  UDP    [fe80::32d:1d9c:1a37:9055%5]:6771  *:*                                    11648
  UDP    [fe80::32d:1d9c:1a37:9055%5]:54410  *:*                                    11648
  UDP    [fe80::86ff:6ad8:1920:53c0%54]:1900  *:*                                    4532
  UDP    [fe80::86ff:6ad8:1920:53c0%54]:6881  *:*                                    11648
  UDP    [fe80::86ff:6ad8:1920:53c0%54]:49666  *:*                                    4532
  UDP    [fe80::9890:28f9:bb2:419d%7]:6771  *:*                                    11648
  UDP    [fe80::9890:28f9:bb2:419d%7]:54408  *:*                                    11648
  UDP    [fe80::b0a2:75dd:93b0:5c74%12]:6771  *:*                                    11648
  UDP    [fe80::b0a2:75dd:93b0:5c74%12]:54407  *:*                                    11648
  UDP    [fe80::c57a:c2f5:6d0:e826%6]:6771  *:*                                    11648
  UDP    [fe80::c57a:c2f5:6d0:e826%6]:54406  *:*                                    11648
  UDP    [fe80::e9c4:9a57:f3bd:cbb1%11]:1900  *:*                                    4532
  UDP    [fe80::e9c4:9a57:f3bd:cbb1%11]:6771  *:*                                    11648
  UDP    [fe80::e9c4:9a57:f3bd:cbb1%11]:6881  *:*                                    11648
  UDP    [fe80::e9c4:9a57:f3bd:cbb1%11]:49667  *:*                                    4532
  UDP    [fe80::e9c4:9a57:f3bd:cbb1%11]:54409  *:*                                    11648
